timestamp,src_ip,dst_ip,label
2026-08-07T07:10:52.047462+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:10:57.399196+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:01.047789+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:06.920671+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:10.359235+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:13.914683+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:19.870703+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:25.447377+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:29.139650+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:33.946815+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:38.644808+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:43.519189+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:47.998139+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:53.472415+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:11:58.513171+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:12:03.845010+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:14:35.243779+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:14:41.171087+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:14:44.806355+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:14:48.707289+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:14:55.031261+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:00.428397+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:05.971773+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:11.273109+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:16.687851+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:22.833907+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:26.508184+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:30.175071+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:34.139018+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:37.863789+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:41.982661+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:15:45.959083+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:35:42.820323+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:35:48.272367+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:35:53.795342+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:35:59.310846+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:04.747333+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:08.541121+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:14.351897+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:20.012709+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:23.965958+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:28.540060+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:33.432777+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:38.250550+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:43.218245+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:48.739725+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:52.218930+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:36:55.419475+00:00,192.168.64.129,10.10.10.1,ssh-brute
2026-08-07T07:39:24.465234+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T07:39:30.835881+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T07:39:34.576155+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T07:39:38.624564+00:00,192.168.64.129,10.10.10.101,ssh-brute
2026-08-07T07:41:52.990911+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:41:56.961504+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:02.633303+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:06.632607+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:10.247709+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:13.989761+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:19.861831+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:23.367140+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:26.783470+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:31.786174+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:36.619713+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:41.234711+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:45.763046+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:49.886709+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:42:53.840097+00:00,192.168.64.129,10.10.10.102,ssh-brute
2026-08-07T07:43:00.188245+00:00,192.168.64.129,10.10.10.102,ssh-brute
